HS 1988/92 Product Code,HS 1988/92 Product Description,SITC Revision 4 Product Code,SITC Revision 4 Product Description
290230,Toluene,51123,"Toluene, pure"
290241,o-Xylene,51124,"Xylenes, pure"
290242,m-Xylene,51124,"Xylenes, pure"
290243,p-Xylene,51124,"Xylenes, pure"
290244,Mixed xylene isomers,51124,"Xylenes, pure"
290250,Styrene,51125,Styrene
290260,Ethylbenzene,51126,Ethylbenzene
290270,Cumene,51127,Cumene
290290,"Other cyclic hydrocarbons, nes",51129,"Cyclic hydrocarbons, n.e.s."
290311,Chloromethane (methyl chloride) and chloroethan,51136,Other saturated chlorinated derivatives of acyclic hydrocarbons
290312,Dichloromethane (methylene chloride),51136,Other saturated chlorinated derivatives of acyclic hydrocarbons
290313,Chloroform (trichloromethane),51136,Other saturated chlorinated derivatives of acyclic hydrocarbons
290314,Carbon tetrachloride,51136,Other saturated chlorinated derivatives of acyclic hydrocarbons
290315,"1,2-Dichloroethane (ethylene dichloride)",51135,"1,2-Dichloroethane (ethylene dichloride)"
290316,"1,2-Dichloropropane (propylene dichloride) and",51136,Other saturated chlorinated derivatives of acyclic hydrocarbons
290319,Saturated chlorinated derivatives of acyclic hy,51136,Other saturated chlorinated derivatives of acyclic hydrocarbons
290321,Vinyl chloride (chloroethylene),51131,Vinyl chloride (chloroethylene)
290322,Trichloroethylene,51132,Trichloroethylene
290323,Tetrachloroethylene (perchloroethylene),51133,Tetrachloroethylene (perchloroethylene)
290329,Unsaturated chlorinated derivatives of acyclic,51134,Other unsaturated chlorinated derivatives of acyclic hydrocarbons
290330,"Fluorinated, brominated or iodinated derivitive",51137,"Fluorinated, brominated/iodinated derivatives of acyclic hydrocarbons"
290340,Halogenated derivatives of acyclic hydrocarbons,51138,Halogenated derivatives of acyclic hydrocarbons containing two/more different halogens
290351,"1,2,3,4,5,6-Hexachlorocyclohexane",51139,"Halogenated derivatives of hydrocarbons, n.e.s."
290359,Halogenated derivatives of cyclanic... cycloter,51139,"Halogenated derivatives of hydrocarbons, n.e.s."
290361,"Chlorobenzene, o-dichlorobenzene and p-dichloro",51139,"Halogenated derivatives of hydrocarbons, n.e.s."
290362,"Hexachlorobenzene and DDT(1,1,1-trichloro-2,2-b",51139,"Halogenated derivatives of hydrocarbons, n.e.s."
290369,Halogenated derivatives of aromatic hydrocarbon,51139,"Halogenated derivatives of hydrocarbons, n.e.s."
290410,Hydrocarbon derivatives containing only sulpho,5114,"Sulphonated, nitrated/nitrosated derivatives of hydrocarbons, whether/not halogenated"
290420,Hydrocarbon derivatives containing only nitro/n,5114,"Sulphonated, nitrated/nitrosated derivatives of hydrocarbons, whether/not halogenated"
290490,"Sulphonated, nitrated or nitrosated derivatives",5114,"Sulphonated, nitrated/nitrosated derivatives of hydrocarbons, whether/not halogenated"
290511,Methanol (methyl alcohol),51211,Methanol (methyl alcohol)
290512,Propan-1-ol (propyl alcohol) and propan-2-ol (i,51212,Propan-1-ol (propyl alcohol) & propan-2-ol (isopropyl alcohol)
290513,Butan-1-ol (n-butyl alcohol),51213,Butanols
290514,"Other butanols, nes",51213,Butanols
290515,Pentanol (amyl alcohol) and isomers thereof,51219,Other monohydric alcohols
290516,Octanol (octyl alcohol) and isomers thereof,51214,Octanol (octyl alcohol) & isomers thereof
290517,"Dodecan-1-ol, hexadecan-1-ol and octadecan-1-ol",51219,Other monohydric alcohols
290519,"Saturated monohydric alcohols, nes",51219,Other monohydric alcohols
290521,Allyl alcohol,51219,Other monohydric alcohols
290522,Acyclic terpene alcohols,51219,Other monohydric alcohols
290529,"Unsaturated monohydric alcohols, nes",51219,Other monohydric alcohols
290531,Ethylene glycol (ethanediol),51221,Ethylene glycol (ethanediol)
290532,"Propylene glycol (propane-1,2-diol)",51229,Other acyclic alcohols
290539,"Other diols, nes",51229,Other acyclic alcohols
290541,"2-Ethyl-2-(hydroxymethyl)propane-1,3-diol (trim",51229,Other acyclic alcohols
290542,Pentaerythritol,51223,Pentaerythritol
290543,Mannitol,51224,Mannitol
290544,D-glucitol (sorbitol),51225,D-glucitol (sorbitol)
290549,"Other polyhydric alcohols, nes",51229,Other acyclic alcohols
290550,Halogenated... or nitrosated derivatives of acy,51229,Other acyclic alcohols
290611,Menthol,51231,"Cyclanic, cyclenic/cycloterpenic alcohols & their halogenated, sulphonated, nitrated/nitrosated derivatives"
290612,"Cyclohexanol, methylcyclohexanols and dimethylc",51231,"Cyclanic, cyclenic/cycloterpenic alcohols & their halogenated, sulphonated, nitrated/nitrosated derivatives"
290613,Sterols and inositols,51231,"Cyclanic, cyclenic/cycloterpenic alcohols & their halogenated, sulphonated, nitrated/nitrosated derivatives"
290614,Terpineols,51231,"Cyclanic, cyclenic/cycloterpenic alcohols & their halogenated, sulphonated, nitrated/nitrosated derivatives"
290619,"Cyclanic, cyclenic or cycloterpenic alcohols an",51231,"Cyclanic, cyclenic/cycloterpenic alcohols & their halogenated, sulphonated, nitrated/nitrosated derivatives"
290621,Benzyl alcohol,51235,"Aromatic cyclic alcohols & their halogenated, sulphonated, nitrated/nitrosated derivatives"
290629,"Aromatic alcohols and their derivatives, nes",51235,"Aromatic cyclic alcohols & their halogenated, sulphonated, nitrated/nitrosated derivatives"
290711,Phenol (hydroxybenzene) and its salts,51241,"Phenol (hydroxybenzene), pure, & its salts"
290712,Cresols and their salts,51242,"Cresols, n.e.s., & their salts"
290713,"Octylphenol, nonylphenol and their isomers; sal",51243,Other phenols & phenol-alcohols
290714,Xylenols and their salts,51243,Other phenols & phenol-alcohols
290715,Naphthols and their salts,51243,Other phenols & phenol-alcohols
290719,"Other monophenols, nes",51243,Other phenols & phenol-alcohols
290721,Resorcinol and its salts,51243,Other phenols & phenol-alcohols
290722,Hydroquinone (quinol) and its salts,51243,Other phenols & phenol-alcohols
290723,"4,4-Isopropylidenediphenol (bisphenol A, diphen",51243,Other phenols & phenol-alcohols
290729,"Other polyphenols, nes",51243,Other phenols & phenol-alcohols
290730,Phenol-alcohols,51243,Other phenols & phenol-alcohols
290810,Phenol or phenol-alcohol derivatives containing,51244,"Halogenated, sulphonated, nitrated/nitrosated derivatives of phenols/phenol-alcohols"
290820,Phenol or phenol-alcohol derivatives containing,51244,"Halogenated, sulphonated, nitrated/nitrosated derivatives of phenols/phenol-alcohols"
290890,Other halogenated... or nitrosated derivatives,51244,"Halogenated, sulphonated, nitrated/nitrosated derivatives of phenols/phenol-alcohols"
290911,Diethyl ether,51616,"Acyclic, cyclanic, cyclenic, cycloterpenic & aromatic ethers; their halogenated, sulphonated, nitrated/nitrosated derivatives"
290919,Other acyclic ethers and their halogenated... d,51616,"Acyclic, cyclanic, cyclenic, cycloterpenic & aromatic ethers; their halogenated, sulphonated, nitrated/nitrosated derivatives"
290920,"Cyclanic, cyclenic... ethers and their halogena",51616,"Acyclic, cyclanic, cyclenic, cycloterpenic & aromatic ethers; their halogenated, sulphonated, nitrated/nitrosated derivatives"
290930,Aromatic ethers and their halogenated... deriva,51616,"Acyclic, cyclanic, cyclenic, cycloterpenic & aromatic ethers; their halogenated, sulphonated, nitrated/nitrosated derivatives"
290941,"2,2-Oxydiethanol (diethylene glycol, digol)",51617,"Ether-alcohols, ether-phenols, ether-alcohol-phenols; alcohol, ether, ketone peroxides; their halogenated, sulphonated, nitrated/nitrosated derivatives"
290942,Monomethyl ethers of ethylene glycol or of diet,51617,"Ether-alcohols, ether-phenols, ether-alcohol-phenols; alcohol, ether, ketone peroxides; their halogenated, sulphonated, nitrated/nitrosated derivatives"
290943,Monobutyl ethers of ethylene glycol or of dieth,51617,"Ether-alcohols, ether-phenols, ether-alcohol-phenols; alcohol, ether, ketone peroxides; their halogenated, sulphonated, nitrated/nitrosated derivatives"
290944,Other monoalkylethers of ethylene glycol or of,51617,"Ether-alcohols, ether-phenols, ether-alcohol-phenols; alcohol, ether, ketone peroxides; their halogenated, sulphonated, nitrated/nitrosated derivatives"
290949,Other acyclic ether-alcohols and their halogena,51617,"Ether-alcohols, ether-phenols, ether-alcohol-phenols; alcohol, ether, ketone peroxides; their halogenated, sulphonated, nitrated/nitrosated derivatives"
290950,"Ether-phenols, ether-alcohol-phenols and haloge",51617,"Ether-alcohols, ether-phenols, ether-alcohol-phenols; alcohol, ether, ketone peroxides; their halogenated, sulphonated, nitrated/nitrosated derivatives"
290960,"Alcohol, ether and ketone peroxides and their..",51617,"Ether-alcohols, ether-phenols, ether-alcohol-phenols; alcohol, ether, ketone peroxides; their halogenated, sulphonated, nitrated/nitrosated derivatives"
291010,Oxirane (ethylene oxide),51613,Oxirane (ethylene oxide)
291020,Methyloxirane (propylene oxide),51614,Methyloxirane (propylene oxide)
291030,"1-Chloro-2,3-epoxypropane (epichlorohydrin)",51615,"Other epoxides, epoxyalcohols, epoxyphenols & epoxyethers, with a three-membered ring, & their halogenated, sulphonated, nitrated/nitrosated derivatives"
291090,Epoxides... with a three-membered ring and deri,51615,"Other epoxides, epoxyalcohols, epoxyphenols & epoxyethers, with a three-membered ring, & their halogenated, sulphonated, nitrated/nitrosated derivatives"
