HS 2002 Product Code,HS 2002 Product Description,SITC Revision 4 Product Code,SITC Revision 4 Product Description
841939,Other,74186,"Driers, n.e.s."
841940,Distilling or rectifying plant,74173,Distilling/rectifying plant
841950,Heat exchange units,74174,Heat-exchange units
841960,Machinery for liquefying air or other gases,74175,Machinery for liquefying air/other gases
841981,For making hot drinks or for cooking or heating food,74187,Machinery for making hot drinks/for cooking/heating food
841989,Other,74189,"Other machinery, plant/equipment"
841990,Parts,7419,"Parts, n.e.s., for the machinery of headings 741.73 through 741.89"
842010,Calendering or other rolling machines,74591,Calendering/other rolling machines (other than for metals/glass)
842091,Cylinders,74593,Cylinders & other parts for the machines of heading 745.91
842099,Other,74593,Cylinders & other parts for the machines of heading 745.91
842111,Cream separators,74351,Cream separators
842112,Clothesdryers,74355,Clothes driers
842119,Other,74359,Other centrifuges
842121,For filtering or purifying water,74361,Machinery & apparatus for filtering/purifying water
842122,For filtering or purifying beverages other than water,74362,Machinery & apparatus for filtering/purifying beverages other than water
842123,Oil or petrolfilters for internal combustion engines,74363,Oil/petrol filters for internal combustion engines
842129,Other,74367,"Filtering/purifying machinery & apparatus for liquids, n.e.s."
842131,Intake air filters for internal combustion engines,74364,Intake air filters for internal combustion engines
842139,Other,74369,"Filtering/purifying machinery & apparatus for gases, n.e.s."
842191,"Of centrifuges, including centrifugal dryers",74391,Parts of centrifuges (including centrifugal driers)
842199,Other,74395,Parts of filtering/purifying machinery & apparatus
842211,Of the household type,7753,Dishwashing machines of the household type
842219,Other,74521,Dishwashing machines (other than household-type)
842220,Machinery for cleaning or drying bottles or other containers,74523,Machinery for cleaning/drying bottles/other containers
842230,"Machinery for filling, closing, sealing, or labelling bottles, cans, boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and similar containers; machinery for aerating beverages",74527,Other packing/wrapping machinery
842240,Other packing or wrapping machinery (including heatshrink wrapping machinery),74527,Other packing/wrapping machinery
842290,Parts,74529,Parts of the machinery of subgroup 745.2 & heading 775.3
842310,"Personal weighing machines, including baby scales; household scales",74532,Personal weighing-machines (including baby scales); household scales
842320,Scales for continuous weighing of goods on conveyors,74531,"Weighing machinery (excluding balances of a sensitivity of 5 cg/better, personal weighing-machines & household scales), including weight-operated counting & checking machines"
842330,"Constant weight scales and scales for discharging a predetermined weight of material into a bag or container, including hopper scales",74531,"Weighing machinery (excluding balances of a sensitivity of 5 cg/better, personal weighing-machines & household scales), including weight-operated counting & checking machines"
