HS - Combined  Product Code,HS - Combined  Product Description,SITC Revision 3 Product Code,SITC Revision 3 Product Description
293332,(1996-) Piperidine and its salts,51574,Unf pyridime ring cmpds
293333,"(2002-) Alfentanil (INN), anileridine (INN), bezitramide (INN), bromazepam (INN), difenoxin (INN), diphenoxylate (INN), dipipanone (INN), fentanyl (INN), ketobemidone (INN), methylphenidate (INN), pentazocine (INN), pethidine (INN), pethidine (INN) interm",51574,Unf pyridime ring cmpds
293339,Other,51574,Unf pyridime ring cmpds
293340,(-2001) Compounds containing a quinoline or isoquinoline r,51575,Quinoline ring compounds
293341,(2002-) Levorphanol (INN) and its salts,51575,Quinoline ring compounds
293349,(2002-) Other,51575,Quinoline ring compounds
293351,(-2001) Compounds containing a pyrimidine ring (whether or,51576,Pyrimidine ring compound
293352,(2002-) Malonylurea (barbituric acid) and its salts,51576,Pyrimidine ring compound
293353,"(2002-) Allobarbital (INN), amobarbital (INN), barbital (INN), butalbital (INN), butobarbital, cyclobarbital (INN), methylphenobarbital (INN), pentobarbital (INN), phenobarbital (INN), secbutabarbital (INN), secobarbital (INN) and vinylbital (INN); salts ",51576,Pyrimidine ring compound
293354,(2002-) Other derivatives of malonylurea (barbituric acid); salts thereof,51576,Pyrimidine ring compound
293355,"(2002-) Loprazolam (INN), mecloqualone (INN), methaqualone (INN) and zipeprol (INN); salts thereof",51576,Pyrimidine ring compound
293359,Other,51576,Pyrimidine ring compound
293361,Melamine,51576,Pyrimidine ring compound
293369,Other,51576,Pyrimidine ring compound
293371,6-Hexanelactam (epsilon-caprolactam),51561,Lactams
293372,(2002-) Clobazam (INN) and methyprylon (INN),51561,Lactams
293379,Other lactams,51561,Lactams
293390,(-2001) Other,51577,N-hetero atom cmpds nes
293391,"(2002-) Alprazolam (INN), camazepam (INN), chlordiazepoxide (INN), clonazepam (INN), clorazepate, delorazepam (INN), diazepam (INN), estazolam (INN), ethyl loflazepate (INN), fludiazepam (INN), flunitrazepam (INN), flurazepam (INN), halazepam (INN), loraz",51577,N-hetero atom cmpds nes
293399,(2002-) Other,51577,N-hetero atom cmpds nes
293410,Compounds containing an unfused thiazole ring (whether or not hydrogenated) in the structure,51579,Oth heterocyc cmpds nes
293420,"Compounds containing in the structure a benzothiazole ringsystem (whether or not hydrogenated), not further fused",51579,Oth heterocyc cmpds nes
293430,"Compounds containing in the structure a phenothiazine ringsystem (whether or not hydrogenated), not further fused",51578,Phenothiazine ring cmpds
293490,(-2001) Other,51579,Oth heterocyc cmpds nes
293491,"(2002-) Aminorex (INN), brotizolam (INN), clotiazepam (INN), cloxazolam (INN), dextromoramide (INN), haloxazolam (INN), ketazolam (INN), mesocarb (INN), oxazolam (INN), pemoline (INN), phendimetrazine (INN), phenmetrazine (INN) and sufentanil (INN); salts",51579,Oth heterocyc cmpds nes
293499,(2002-) Other,51579,Oth heterocyc cmpds nes
293500,Sulphonamides.,5158,Sulphonamides
293610,"(-2006) Provitamins, unmixed",54111,"Provitamins, unmixed"
293621,Vitamins A and their derivatives,54112,Vitamin a/derivatives
293622,Vitamin B1 and its derivatives,54113,Vitamin b/derivatives
293623,Vitamin B2 and its derivatives,54113,Vitamin b/derivatives
293624,D- or DL-Pantothenic acid (Vitamin B3 or Vitamin B5) and its derivatives,54113,Vitamin b/derivatives
293625,Vitamin B6 and its derivatives,54113,Vitamin b/derivatives
293626,Vitamin B12 and its derivatives,54113,Vitamin b/derivatives
293627,Vitamin C and its derivatives,54114,Vitamin c/derivatives
293628,Vitamin E and its derivatives,54115,Vitamin e/derivatives
293629,Other vitamins and their derivatives,54116,Vitamins unmixed nes
293690,"Other, including natural concentrates",54117,Provitamin/vitamin mixt.
293710,"(-2001) Pituitary (anterior) or similar hormones, and thei",54152,Pituitary/etc hormone/de
293711,"(2002-) Somatotropin, its derivatives and structural analogues",54152,Pituitary/etc hormone/de
293712,(2002-) Insulin and its salts,54151,Insulin and its salts
293719,(2002-) Other,54152,Pituitary/etc hormone/de
293721,"Cortisone, hydrocortisone, prednisone (dehydrocortisone) and prednisolone (dehydrohydrocortisone)",54153,Cortisone/derivatives
293722,Halogenated derivatives of corticosteroidal hormones,54153,Cortisone/derivatives
293723,(2002-) Oestrogens and progestogens,54159,Othr hormones/derivs/etc
293729,Other,54153,Cortisone/derivatives
293731,(2002-) Epinephrine,54159,Othr hormones/derivs/etc
293739,(2002-) Other,54159,Othr hormones/derivs/etc
293740,(2002-) Aminoacid derivatives,54159,Othr hormones/derivs/etc
293750,"(2002-) Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues",54159,Othr hormones/derivs/etc
293790,(2002-) Other,54159,Othr hormones/derivs/etc
293791,(-2001) Other hormones and their derivatives; other steroi,54151,Insulin and its salts
293792,(-2001) Other hormones and their derivatives; other steroi,54159,Othr hormones/derivs/etc
293799,(-2001) Other hormones and their derivatives; other steroi,54159,Othr hormones/derivs/etc
