HS 1988/92 Product Code,HS 1988/92 Product Description,SITC Revision 1 Product Code,SITC Revision 1 Product Description
310410,"Carnallite, sylvite and other Crude natural pot",2714,"Natural potassic salts, crude"
310420,Potassium chloride,5613,Potassic fertilizers and materials
310430,Potassium sulphate,5613,Potassic fertilizers and materials
310490,"Mineral or chemical fertilizers, potassic, nes",5613,Potassic fertilizers and materials
310510,Fertilizers... in packages of a gross weight =<,5619,"Fertilizers, n.e.s."
310520,"Mineral or chemical fertilizers with nitrogen,",5619,"Fertilizers, n.e.s."
310530,Diammonium hydrogenorthophosphate (diammonium p,5619,"Fertilizers, n.e.s."
310540,Ammonium dihydrogenorthophosphate (monoammonium,5619,"Fertilizers, n.e.s."
310551,Mineral or chemical fertilizers containing nitr,5619,"Fertilizers, n.e.s."
310559,Mineral or chemical fertilizers with nitrogen a,5619,"Fertilizers, n.e.s."
310560,Mineral or chemical fertilizers with phosphorus,5619,"Fertilizers, n.e.s."
310590,"Other fertilizers, nes",5619,"Fertilizers, n.e.s."
320110,Quebracho extract,5324,Tanning extracts of vegetable origin
320120,Wattle extract,5324,Tanning extracts of vegetable origin
320130,Oak or chestnut extract,5324,Tanning extracts of vegetable origin
320190,Tanning extracts of vegetable origin; tannins a,5324,Tanning extracts of vegetable origin
320210,Synthetic organic tanning substances,5323,Synthetic tanning materials
320290,Inorganic tanning substances; tanning preparati,5323,Synthetic tanning materials
320300,"Colouring matter of vegetable or animal origin,",5321,Dyeing extracts vegetable and animal
320411,Disperse dyes and preparations based thereon,53101,Synthetic organic dyestuffs and natural indigo
320412,Acid dyes and preparations; mordant dyes and pr,53101,Synthetic organic dyestuffs and natural indigo
320413,Basic dyes and preparations based thereon,53101,Synthetic organic dyestuffs and natural indigo
320414,Direct dyes and preparations based thereon,53101,Synthetic organic dyestuffs and natural indigo
320415,Vat dyes and preparations based thereon,53101,Synthetic organic dyestuffs and natural indigo
320416,Reactive dyes and preparations based thereon,53101,Synthetic organic dyestuffs and natural indigo
320417,Pigments and preparations based thereon,53101,Synthetic organic dyestuffs and natural indigo
320419,Synthetic organic colouring matter and preparat,53101,Synthetic organic dyestuffs and natural indigo
320420,Synthetic organic products used as fluorescent,53101,Synthetic organic dyestuffs and natural indigo
320490,Synthetic organic products used as luminophores,53101,Synthetic organic dyestuffs and natural indigo
320500,Colour lakes; preparations based on colour lake,53102,Colour lakes
320610,Pigments and preparations based on titanium dio,5331,"Colouring materials, n.e.s."
320620,Pigments and preparations based on chromium com,5331,"Colouring materials, n.e.s."
320630,Pigments and preparations based on cadminum com,5331,"Colouring materials, n.e.s."
320641,Ultramarine and preparations based thereon,5331,"Colouring materials, n.e.s."
320642,Lithopone and other pigments and preparations b,5331,"Colouring materials, n.e.s."
320643,Pigments and preparations based on hexacyanofer,5331,"Colouring materials, n.e.s."
320649,Other colouring matter; preparations as specifi,5331,"Colouring materials, n.e.s."
320650,Inorganic products of a kind used as luminophor,5331,"Colouring materials, n.e.s."
320710,"Prepared pigments, opacifiers and colours... fo",53331,"Prepared pigments, opacifiers, enamels, glazes etc"
320720,"Vitrifiable enamels and glazes, englobes and si",53331,"Prepared pigments, opacifiers, enamels, glazes etc"
320730,Liquid lustres and similar preparations,53331,"Prepared pigments, opacifiers, enamels, glazes etc"
320740,Glass frit and other glass in the form of powde,53331,"Prepared pigments, opacifiers, enamels, glazes etc"
320810,"Paints... based on polyesters, in a non-aqueous",53332,"Varnishes, lacquers, distempers, water pigments"
320820,"Paints... based on acrylic or vinyl polymers, i",53332,"Varnishes, lacquers, distempers, water pigments"
