HS 2017,BEC,Relationship
090832,112,n:1
090921,112,n:1
090922,112,n:1
090931,112,n:1
090932,112,n:1
090961,112,n:1
090962,112,n:1
091011,112,n:1
091012,112,n:1
091020,112,n:1
091030,112,n:1
091091,112,n:1
091099,112,n:1
100111,111,n:1
100119,111,n:1
100191,111,n:1
100199,111,n:1
100210,111,n:1
100290,111,n:1
100310,111,n:1
100390,111,n:1
100410,21,n:1
100490,21,n:1
100510,21,n:1
100590,21,n:1
100610,111,n:1
100620,111,n:1
100630,122,n:1
100640,122,n:1
100710,111,n:1
100790,111,n:1
100810,111,n:1
100821,111,n:1
100829,111,n:1
100830,111,n:1
100840,111,n:1
100850,111,n:1
100860,111,n:1
100890,111,n:1
110100,121,n:1
110220,121,n:1
110290,121,n:1
110311,121,n:1
110313,121,n:1
110319,121,n:1
110320,121,n:1
110412,122,n:1
110419,122,n:1
110422,122,n:1
110423,122,n:1
110429,122,n:1
110430,122,n:1
110510,121,n:1
110520,121,n:1
110610,121,n:1
110620,121,n:1
110630,121,n:1
110710,121,n:1
110720,121,n:1
110811,22,n:1
110812,22,n:1
110813,22,n:1
110814,22,n:1
110819,22,n:1
110820,22,n:1
110900,121,n:1
120110,111,n:1
120190,111,n:1
120230,111,n:1
120241,111,n:1
120242,111,n:1
120300,111,n:1
120400,21,n:1
120510,111,n:1
120590,111,n:1
120600,111,n:1
120710,111,n:n
120710,21,n:n
120721,111,n:1
120729,111,n:1
120730,111,n:n
120730,21,n:n
120740,111,n:1
120750,111,n:1
120760,111,n:n
120760,21,n:n
120770,111,n:n
120770,21,n:n
120791,111,n:1
120799,111,n:n
120799,21,n:n
120810,121,n:1
120890,121,n:1
120910,21,n:1
120921,21,n:1
120922,21,n:1
120923,21,n:1
120924,21,n:1
120925,21,n:1
120929,21,n:1
120930,21,n:1
120991,21,n:1
120999,21,n:1
121010,111,n:1
121020,111,n:1
121120,122,n:n
121120,21,n:n
121130,21,n:1
121140,21,n:1
121150,21,n:1
121190,122,n:n
121190,21,n:n
121221,21,n:1
121229,21,n:1
121291,111,n:1
121292,111,n:1
121293,111,n:1
121294,111,n:1
121299,111,n:1
121300,21,n:1
121410,21,n:1
121490,21,n:1
130120,21,n:1
130190,21,n:1
130211,21,n:1
130212,21,n:1
130213,21,n:1
130214,21,n:1
130219,21,n:1
130220,21,n:1
130231,22,n:1
130232,22,n:1
130239,22,n:1
140110,21,n:1
140120,21,n:1
140190,21,n:1
140420,21,n:1
140490,21,n:1
150110,22,n:1
150120,22,n:1
150190,22,n:1
150210,22,n:1
150290,22,n:1
150300,22,n:1
150410,22,n:1
150420,121,n:1
150430,121,n:1
150500,22,n:1
150600,22,n:1
150710,121,n:1
150790,122,n:1
150810,121,n:1
150890,122,n:1
150910,122,n:1
150990,122,n:1
151000,121,n:1
151110,121,n:1
151190,121,n:1
151211,121,n:1
151219,122,n:1
151221,121,n:1
151229,121,n:1
151311,121,n:1
151319,121,n:1
151321,121,n:1
151329,121,n:1
151411,121,n:1
151419,122,n:1
151491,121,n:1
151499,122,n:1
151511,22,n:1
151519,22,n:1
151521,121,n:1
151529,122,n:1
151530,22,n:1
151550,121,n:1
151590,22,n:1
151610,121,n:1
151620,121,n:1
151710,122,n:1
151790,122,n:1
151800,22,n:1
152000,22,n:1
152110,22,n:1
152190,22,n:1
152200,21,n:1
160100,122,n:1
160210,122,n:1
160220,122,n:1
160231,122,n:1
160232,122,n:1
160239,122,n:1
160241,122,n:1
160242,122,n:1
160249,122,n:1
