HS - Combined  Product Code,HS - Combined  Product Description,SITC Revision 2 Product Code,SITC Revision 2 Product Description
851991,"(-1995) Sound reproducing apparatus,cassette type,",76388,Dictating mach.and other sound recorders
851992,(1996-2006) Pocketsize cassetteplayers,76388,Dictating mach.and other sound recorders
851993,"(1996-2006) Other, cassettetype",76388,Dictating mach.and other sound recorders
851999,(-2006) Other,76388,Dictating mach.and other sound recorders
852010,(-2006) Dictating machines not capable of operating without an external source of power,76388,Dictating mach.and other sound recorders
852020,(-2006) Telephone answering machines,76388,Dictating mach.and other sound recorders
852031,(-1995) Magnetic tape rec incorporating sound repr,76388,Dictating mach.and other sound recorders
852032,(1996-2006) Digital audio type,76388,Dictating mach.and other sound recorders
852033,"(1996-2006) Other, cassettetype",76388,Dictating mach.and other sound recorders
852039,(-2006) Other,76388,Dictating mach.and other sound recorders
852090,(-2006) Other,76388,Dictating mach.and other sound recorders
852110,Magnetic tape-type,76381,Television image and sound recorders/reproducers
852190,Other,76381,Television image and sound recorders/reproducers
852210,Pick-up cartridges,76499,Parts of apparatus of 763--
852290,Other,76499,Parts of apparatus of 763--
852311,(-2006) Of a width not exceeding 4 mm,89831,Prepared media for sound or similar recording
852312,(-2006) Of a width exceeding 4 mm but not exceeding 6.5 mm,89831,Prepared media for sound or similar recording
852313,(-2006) Of a width exceeding 6.5 mm,89831,Prepared media for sound or similar recording
852320,(-2006) Magnetic discs,89831,Prepared media for sound or similar recording
852330,(1996-2006) Cards incorporating a magnetic stripe,89831,Prepared media for sound or similar recording
852390,(-2006) Other,89831,Prepared media for sound or similar recording
852410,(-2006) Gramophone records,89832,"Gramophome records,recorded tapes etc."
852421,"(-1995) Recorded magnetic tapes, of a width not ex",89832,"Gramophome records,recorded tapes etc."
852422,"(-1995) Recorded magnetic tapes,of a width exceedi",89832,"Gramophome records,recorded tapes etc."
852423,"(-1995) Recorded magnetic tapes, of a width exceed",89832,"Gramophome records,recorded tapes etc."
852431,(1996-2006) For reproducing phenomena other than sound or image,89832,"Gramophome records,recorded tapes etc."
852432,(1996-2006) For reproducing sound only,89832,"Gramophome records,recorded tapes etc."
852439,(1996-2006) Other,89832,"Gramophome records,recorded tapes etc."
852440,(1996-2006) Magnetic tapes for reproducing phenomena other than sound or image,89832,"Gramophome records,recorded tapes etc."
852451,(1996-2006) Of a width not exceeding 4 mm,89832,"Gramophome records,recorded tapes etc."
852452,(1996-2006) Of a width exceeding 4 mm but not exceeding 6.5 mm,89832,"Gramophome records,recorded tapes etc."
852453,(1996-2006) Of a width exceeding 6.5 mm,89832,"Gramophome records,recorded tapes etc."
852460,(1996-2006) Cards incorporating a magnetic stripe,89832,"Gramophome records,recorded tapes etc."
852490,(-1995) Recorded media for sound or other similarl,89832,"Gramophome records,recorded tapes etc."
852491,(1996-2006) For reproducing phenomena other than sound or image,89832,"Gramophome records,recorded tapes etc."
852499,(1996-2006) Other,89832,"Gramophome records,recorded tapes etc."
852510,(-2006) Transmission apparatus,7643,Radiotelegraphic & radiotelephonic transmitters
852520,(-2006) Transmission apparatus incorporating reception apparatus,7643,Radiotelegraphic & radiotelephonic transmitters
852530,(-2006) Television cameras,76482,Television cameras
852540,(1996-2006) Still image video cameras and other video camera recorders; digital cameras,76381,Television image and sound recorders/reproducers
852610,Radar apparatus,76483,"Radio navigational aid apparatus,radar apparatus"
852691,Radio navigational aid apparatus,76483,"Radio navigational aid apparatus,radar apparatus"
852692,Radio remote control apparatus,76483,"Radio navigational aid apparatus,radar apparatus"
852711,(-1995) Radio broad rece capable of op w/o an exte,7622,"Radio-broadcast receivers portable,incl.sound rec."
852712,(1996-) Pocketsize radio cassetteplayers,7622,"Radio-broadcast receivers portable,incl.sound rec."
852713,(1996-) Other apparatus combined with sound recording or reproducing apparatus,7622,"Radio-broadcast receivers portable,incl.sound rec."
852719,Other,7622,"Radio-broadcast receivers portable,incl.sound rec."
852721,Combined with sound recording or reproducing apparatus,7621,Radio-broadcast receivers for motor vehicles
852729,Other,7621,Radio-broadcast receivers for motor vehicles
852731,(-2006) Combined with sound recording or reproducing apparatus,7628,Other radio-broadcast receivers
852732,(-2006) Not combined with sound recording or reproducing apparatus but combined with a clock,7628,Other radio-broadcast receivers
852739,(-2006) Other,7628,Other radio-broadcast receivers
852790,(-2006) Other apparatus,76481,Radiotelephonic or radiotelegraphic receivers
852810,(-1995) Television receivers including video monit,7611,"Television receivers,colour"
852812,(1996-2006) Colour,7611,"Television receivers,colour"
852813,(1996-2006) Black and white or other monochrome,7612,"Television receivers,monochrome"
852820,(-1995) Television receivers an including video mo,7612,"Television receivers,monochrome"
852821,(1996-2006) Colour,7611,"Television receivers,colour"
852822,(1996-2006) Black and white or other monochrome,7612,"Television receivers,monochrome"
852830,(1996-2006) Video projectors,7611,"Television receivers,colour"
852910,Aerials and aerial reflectors of all kinds; parts suitable for use therewith,76493,"Parts of a apparatus of 761--,762--,764.3-,764.8-"
852990,Other,76493,"Parts of a apparatus of 761--,762--,764.3-,764.8-"
853010,Equipment for railways or tramways,77882,"Elect.traffic control equip.for railways,roads etc"
853080,Other equipment,77882,"Elect.traffic control equip.for railways,roads etc"
853090,Parts,77882,"Elect.traffic control equip.for railways,roads etc"
853110,Burglar or fire alarms and similar apparatus,77883,Elect.sound & visual signalling apparatus
853120,Indicator panels incorporating liquid crystal devices (LCD) or light emitting diodes (LED),77883,Elect.sound & visual signalling apparatus
853180,Other apparatus,77883,Elect.sound & visual signalling apparatus
853190,Parts,77883,Elect.sound & visual signalling apparatus
853210,Fixed capacitors designed for use in 50/60 Hz circuits and having a reactive power handling capacity of not less than 0.5 kvar (power capacitors),77884,"Elect.capacitors,condensers, fixed or variable"
853221,Tantalum,77884,"Elect.capacitors,condensers, fixed or variable"
853222,Aluminium electrolytic,77884,"Elect.capacitors,condensers, fixed or variable"
853223,"Ceramic dielectric, single layer",77884,"Elect.capacitors,condensers, fixed or variable"
853224,"Ceramic dielectric, multilayer",77884,"Elect.capacitors,condensers, fixed or variable"
853225,Dielectric of paper or plastics,77884,"Elect.capacitors,condensers, fixed or variable"
853229,Other,77884,"Elect.capacitors,condensers, fixed or variable"
853230,Variable or adjustable (preset) capacitors,77884,"Elect.capacitors,condensers, fixed or variable"
853290,Parts,77884,"Elect.capacitors,condensers, fixed or variable"
853310,"Fixed carbon resistors, composition or film types",7723,"Resistors,fixed or variable and parts"
853321,For a power handling capacity not exceeding 20 W,7723,"Resistors,fixed or variable and parts"
853329,Other,7723,"Resistors,fixed or variable and parts"
853331,For a power handling capacity not exceeding 20 W,7723,"Resistors,fixed or variable and parts"
853339,Other,7723,"Resistors,fixed or variable and parts"
853340,"Other variable resistors, including rheostats and potentiometers",7723,"Resistors,fixed or variable and parts"
853390,Parts,7723,"Resistors,fixed or variable and parts"
853400,Printed circuits.,7722,Printed circuits and parts thereof
853510,Fuses,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853521,For a voltage of less than 72.5 kV,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853529,Other,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853530,Isolating switches and makeandbreak switches,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853540,"Lightning arresters, voltage limiters and surge suppressors",7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853590,Other,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853610,Fuses,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853620,Automatic circuit breakers,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853630,Other apparatus for protecting electrical circuits,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853641,For a voltage not exceeding 60 V,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853649,Other,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853650,Other switches,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853661,Lampholders,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853669,Other,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853690,Other apparatus,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853710,"For a voltage not exceeding 1,000 V",7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853720,"For a voltage exceeding 1,000 V",7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853810,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 85.37, not equipped with their apparatus",7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853890,Other,7721,"Elect.app.such as switches,relays,fuses,plugs etc."
853910,Sealed beam lamp units,77832,"Electr.lighting & signaling equip.,defrosters etc."
853921,Tungsten halogen,77821,"Filament lamps,no infra-red-ultra-violet lamps"
853922,"Other, of a power not exceeding 200 W and for a voltage exceeding 100 V",77821,"Filament lamps,no infra-red-ultra-violet lamps"
853929,Other,77821,"Filament lamps,no infra-red-ultra-violet lamps"
853931,"Fluorescent, hot cathode",77822,"Discharge lamps,other than ultra-violet"
853932,(1996-) Mercury or sodium vapour lamps; metal halide lamps,77822,"Discharge lamps,other than ultra-violet"
853939,Other,77822,"Discharge lamps,other than ultra-violet"
853940,(-1995) Ultra-violet or infra-red lamps; arc lamps,77824,"Infra-red lamps,ultra-violet lamps & arc-lamps"
853941,(1996-) Arclamps,77824,"Infra-red lamps,ultra-violet lamps & arc-lamps"
853949,(1996-) Other,77824,"Infra-red lamps,ultra-violet lamps & arc-lamps"
853990,Parts,77829,Parts of the lamps of 778.2-
854011,Colour,7761,"Television picture tubes,cathode ray"
854012,Black and white or other monochrome,7761,"Television picture tubes,cathode ray"
854020,Television camera tubes; image converters and intensifiers; other photocathode tubes,7762,Other electr.valves and tubes
854030,"(-1995) Cathode-ray tubes, nes",7762,Other electr.valves and tubes
854040,"(1996-) Data/graphic display tubes, colour, with a phosphor dot screen pitch smaller than 0.4 mm",7762,Other electr.valves and tubes
854041,(-1995) Magnetron tubes,7762,Other electr.valves and tubes
854042,(-1995) Klystron tubes,7762,Other electr.valves and tubes
854049,"(-1995) Microwave tubes, nes",7762,Other electr.valves and tubes
854050,"(1996-) Data/graphic display tubes, black and white or other monochrome",7762,Other electr.valves and tubes
854060,(1996-) Other cathoderay tubes,7762,Other electr.valves and tubes
854071,(1996-) Magnetrons,7762,Other electr.valves and tubes
854072,(1996-) Klystrons,7762,Other electr.valves and tubes
854079,(1996-) Other,7762,Other electr.valves and tubes
854081,Receiver or amplifier valves and tubes,7762,Other electr.valves and tubes
854089,Other,7762,Other electr.valves and tubes
854091,Of cathoderay tubes,77689,Parts of components of 776--
