HS 1988/92 Product Code,HS 1988/92 Product Description,ISIC Revision 3 Product Code,ISIC Revision 3 Product Description
071022,"Shelled or unshelled beans, frozen",1513,Processing and preserving of fruit and vegetables
071029,"Leguminous vegetables, shelled or unshelled, fr",1513,Processing and preserving of fruit and vegetables
071030,"Spinach, frozen",1513,Processing and preserving of fruit and vegetables
071040,"Sweet corn, frozen",1513,Processing and preserving of fruit and vegetables
071080,"Vegetables, frozen, nes",1513,Processing and preserving of fruit and vegetables
071090,"Mixtures of vegetables, frozen",1513,Processing and preserving of fruit and vegetables
071110,"Onions provisionally preserved, not for immedia",1513,Processing and preserving of fruit and vegetables
071120,"Olives provisionally preserved, not for immedia",1513,Processing and preserving of fruit and vegetables
071130,"Capers provisionally preserved, not for immedia",1513,Processing and preserving of fruit and vegetables
071140,Cucumbers and gherkins provisionally preserved,1513,Processing and preserving of fruit and vegetables
071190,Other vegetables and  mixture of vegetables pro,1513,Processing and preserving of fruit and vegetables
071210,Dried potatoes,1513,Processing and preserving of fruit and vegetables
071220,Dried onions,1513,Processing and preserving of fruit and vegetables
071230,Dried mushrooms and truffles,1513,Processing and preserving of fruit and vegetables
071290,"Dried vegetables, nes",1513,Processing and preserving of fruit and vegetables
071310,"Dried peas, shelled",0111,Growing of cereals and other crops n.e.c.
071320,"Dried chickpeas, shelled",0111,Growing of cereals and other crops n.e.c.
071331,"Dried beans, shelled",0111,Growing of cereals and other crops n.e.c.
071332,"Dried adzuki beans, shelled",0111,Growing of cereals and other crops n.e.c.
071333,"Dried kidney beans, incl. white pea beans, shel",0111,Growing of cereals and other crops n.e.c.
071339,"Dried beans, shelled, nes",0111,Growing of cereals and other crops n.e.c.
071340,"Dried lentils, shelled",0111,Growing of cereals and other crops n.e.c.
071350,"Dried broad beans and horse beans, shelled",0111,Growing of cereals and other crops n.e.c.
071390,"Dried leguminous vegetables, shelled, nes",0111,Growing of cereals and other crops n.e.c.
071410,"Manioc, fresh or dried",0111,Growing of cereals and other crops n.e.c.
071420,"Sweet potatoes, fresh or dried",0111,Growing of cereals and other crops n.e.c.
071490,"Roots and tubers with high starch content, fres",0111,Growing of cereals and other crops n.e.c.
080110,"Coconuts, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080120,"Brazil nuts, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080130,"Cashew nuts, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080211,"Almonds in shell, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
