HS 1996 Product Code,HS 1996 Product Description,ISIC Revision 2 Product Code,ISIC Revision 2 Product Description
071030,"Spinach, New Zealand spinach and orache spinach (garden spinach)",3113,Canning and preserving of fruits and vegetables
071040,Sweet corn,3121,Manufacture of food products not elsewhere classified
071080,Other vegetables,3113,Canning and preserving of fruits and vegetables
071090,Mixtures of vegetables,3113,Canning and preserving of fruits and vegetables
071110,Onions,3113,Canning and preserving of fruits and vegetables
071120,Olives,3113,Canning and preserving of fruits and vegetables
071130,Capers,3113,Canning and preserving of fruits and vegetables
071140,Cucumbers and gherkins,3113,Canning and preserving of fruits and vegetables
071190,Other vegetables; mixtures of vegetables,3113,Canning and preserving of fruits and vegetables
071220,Onions,3113,Canning and preserving of fruits and vegetables
071230,Mushrooms and truffles,3113,Canning and preserving of fruits and vegetables
071290,Other vegetables; mixtures of vegetables,3113,Canning and preserving of fruits and vegetables
071310,Peas (Pisum sativum),1110,Agricultural and livestock production
071320,Chickpeas (garbanzos),1110,Agricultural and livestock production
071331,"Beans (Vigna spp., Phaseolus spp.) :-- Beans of the species Vigna mungo (L.) Hepper or Vigna radiata (L.) Wilczek",1110,Agricultural and livestock production
071332,"Beans (Vigna spp., Phaseolus spp.) :-- Small red (Adzuki) beans (Phaseolus or Vigna angularis)",1110,Agricultural and livestock production
071333,"Beans (Vigna spp., Phaseolus spp.) :-- Kidney beans, including white pea beans (Phaseolus vulgaris)",1110,Agricultural and livestock production
071339,Other,1110,Agricultural and livestock production
071340,Lentils,1110,Agricultural and livestock production
071350,"Broad beans (Vicia faba var.major) and horse beans (Vicia faba var.equina, Vicia faba var.minor)",1110,Agricultural and livestock production
071390,Other,1110,Agricultural and livestock production
071410,Manioc (cassava),1110,Agricultural and livestock production
071420,Sweet potatoes,1110,Agricultural and livestock production
071490,Other,1110,Agricultural and livestock production
080111,Coconuts :-- Desiccated,1110,Agricultural and livestock production
080119,Coconuts :-- Other,1110,Agricultural and livestock production
080121,Brazil nuts :-- In shell,1110,Agricultural and livestock production
080122,Brazil nuts :-- Shelled,1110,Agricultural and livestock production
080131,Cashew nuts :-- In shell,1110,Agricultural and livestock production
080132,Cashew nuts :-- Shelled,1110,Agricultural and livestock production
080211,Almonds :-- In shell,1110,Agricultural and livestock production
080212,Almonds :-- Shelled,1110,Agricultural and livestock production
080221,Hazelnuts or filberts (Corylus spp.) :-- In shell,1110,Agricultural and livestock production
080222,Hazelnuts or filberts (Corylus spp.) :-- Shelled,1110,Agricultural and livestock production
080231,Walnuts :-- In shell,1110,Agricultural and livestock production
080232,Walnuts :-- Shelled,1110,Agricultural and livestock production
080240,Chestnuts (Castanea spp.),1110,Agricultural and livestock production
080250,Pistachios,1110,Agricultural and livestock production
